Name/Flüssigkeiten;Cognac;Gin;Orangensaft;Zitronensaft;Rum;Wasser mit Kohlensäure;Wodka;Blue Curacao;Zuckersirup;Ananassaft;Cointreau;Grenadine(Sirup);Benedictine(Likör);Calvados;Apricot Brandy Likör;Cachaca;Kirschlikör;Dunkler Rum;Angostura;Kakaolikör;Sahne;Bitter Lemon;Limonade;Tequila;Ginger Ale;Limettensirup;Honig;Aperol;Tomatensaft;Worcestersauce;Tabasco;Brauner Rum;Minzlikör;Pfirsichlikör;Heißer Kakao;Heißer Kaffee;Kiwilikör;Batida de coco;Maracujasaft;Kaffee kalt;Cola;Heißer schwarzer Tee;Chambord(Likör);Limettensaft;Cranberrysaft;Creme de cassis(Likör);Grapefruitsaft;Tonic water;Trockener Wermut;Galliano;Cream of coconut;Maracujasirup;Heißes Wasser;Whiskey;Pisang Ambon;Triple Sec Curacao;Amarula wild fruit cream;Süßer Vermouth;Mandelsirup;Heiße Milch;Maraschino;Amaretto;Roter Wermut;Campari;Bananenlikör;Creme de bananes;Kahlua;Espresso
Martini Cocktail;;5cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1cl;;;;;;;;;;;;;;;;;;;
Margarita;;;;2cl;;;;;;;;;;;;;;;;;;;;4cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2cl;;;;;;;;;;;;
Mexican Sunset;;;3cl;1cl;;;;;;;2cl;;;;;;;;;;;;;3cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1cl;;;;;;;;;
Mai Tai;;;;;4cl;;;;1cl;;2cl;;;;;;;;;;;;;;;;;;;;;2cl;;;;;;;;;;;;2cl;;;;;;;;;;;;;;;1cl;;;;;;;;;
Mojito;;;;;6cl;;;;2cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3cl;;;;;;;;;;;;;;;;;;;;;;;;
Mint Julep (mit Cognac);6cl;;;;;1cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mint Julep (mit Whiskey);;;;;;1cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6cl;;;;;;;;;;;;;;
Milk Punch;4cl;;;;;;;;1cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2cl;;;;;;;;
Moscow Mule;;;;;;;6cl;;;;;;;;;;;;;;;;;;4cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manhattan;;;;;;;;;;;;;;;;;;;0.5cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4cl;;;;2cl;;;;;;;;;;
